distance_group,HousePrice
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
2.0,5802.1157227
1.97,4887.3227539
1.97,4887.3227539
1.97,4887.3227539
1.97,4887.3227539
1.97,4887.3227539
1.97,4887.3227539
1.97,4887.3227539
1.61,4364.6445312
1.61,4364.6445312
1.61,4364.6445312
1.61,4364.6445312
1.61,4364.6445312
1.61,4364.6445312
1.61,4364.6445312
1.61,4364.6445312
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
2.32,5681.5283203
1.46,2720.8061523
1.46,2720.8061523
1.03,3488.2802734
1.03,3488.2802734
1.03,3488.2802734
1.03,3488.2802734
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
0.68,4274.0249023
1.05,4159.2685547
1.05,4159.2685547
1.05,4159.2685547
1.05,4159.2685547
70.37,2531.3720703
70.37,2531.3720703
70.37,2531.3720703
70.37,2531.3720703
70.37,2531.3720703
2.07,2885.6108398
2.07,2885.6108398
2.07,2885.6108398
2.07,2885.6108398
2.07,2885.6108398
2.07,2885.6108398
0.25,2255.0161133
0.25,2255.0161133
0.25,2255.0161133
2.39,2304.4013672
2.39,2304.4013672
2.39,2304.4013672
2.39,2304.4013672
0.55,3234.4797363
0.55,3234.4797363
0.55,3234.4797363
0.55,3234.4797363
1.75,4794.0942383
1.75,4794.0942383
1.75,4794.0942383
1.24,2862.6486816
1.24,2862.6486816
65.84,2360.2380371
65.84,2360.2380371
0.57,4601.1103516
0.57,4601.1103516
0.57,4601.1103516
0.57,4601.1103516
0.57,4601.1103516
19.58,2901.5300293
15.82,3774.645752
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.34,4571.0776367
1.28,7755.5722656
1.28,7755.5722656
1.28,7755.5722656
1.28,7755.5722656
1.28,7755.5722656
1.28,7755.5722656
1.28,7755.5722656
0.83,4468.8466797
0.83,4468.8466797
0.83,4468.8466797
0.83,4468.8466797
0.83,4468.8466797
0.83,4468.8466797
0.83,4468.8466797
0.83,4468.8466797
0.83,4468.8466797
70.9,2538.9350586
70.9,2538.9350586
70.9,2538.9350586
70.9,2538.9350586
70.9,2538.9350586
70.9,2538.9350586
2.78,3439.5566406
2.78,3439.5566406
2.78,3439.5566406
23.01,2586.5527344
23.01,2586.5527344
23.01,2586.5527344
23.01,2586.5527344
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
2.61,5777.9814453
1.03,2660.4082031
1.03,2660.4082031
